specimen_id,gene,log2cpm
S-P08-L,ACTB,3.443
S-P08-L,IFNG,4.942
S-P09-NL,TYK2,4.242
S-P09-NL,JAK1,7.978
S-P09-NL,STAT3,2.568
S-P09-NL,IL17A,6.501
S-P09-NL,IL23R,4.837
S-P09-NL,KRT16,6.915
S-P09-NL,S100A8,3.639
S-P09-NL,GAPDH,2.401
S-P09-NL,ACTB,2.961
S-P09-NL,IFNG,2.328
S-P09-L,TYK2,4.976
S-P09-L,JAK1,7.917
S-P09-L,STAT3,2.459
S-P09-L,IL17A,7.554
S-P09-L,IL23R,6.114
S-P09-L,KRT16,7.36
S-P09-L,S100A8,4.118
S-P09-L,GAPDH,2.932
S-P09-L,ACTB,5.434
S-P09-L,IFNG,6.462
S-P10-NL,TYK2,4.676
S-P10-NL,JAK1,7.539
S-P10-NL,STAT3,6.541
S-P10-NL,IL17A,4.101
S-P10-NL,IL23R,3.364
S-P10-NL,KRT16,7.967
S-P10-NL,S100A8,8.032
S-P10-NL,GAPDH,5.447
S-P10-NL,ACTB,2.438
S-P10-NL,IFNG,4.484
S-P10-L,TYK2,5.797
S-P10-L,JAK1,7.373
S-P10-L,STAT3,3.077
S-P10-L,IL17A,2.697
S-P10-L,IL23R,5.363
S-P10-L,KRT16,5.136
S-P10-L,S100A8,3.554
S-P10-L,GAPDH,4.841
S-P10-L,ACTB,3.501
S-P10-L,IFNG,7.181
S-P11-NL,TYK2,4.796
S-P11-NL,JAK1,6.665
S-P11-NL,STAT3,3.607
S-P11-NL,IL17A,6.646
S-P11-NL,IL23R,5.697
S-P11-NL,KRT16,3.198
S-P11-NL,S100A8,6.123
S-P11-NL,GAPDH,3.041
S-P11-NL,ACTB,5.366
S-P11-NL,IFNG,5.152
S-P11-L,TYK2,5.963
S-P11-L,JAK1,5.368
S-P11-L,STAT3,6.019
S-P11-L,IL17A,8.957
S-P11-L,IL23R,2.209
S-P11-L,KRT16,5.582
S-P11-L,S100A8,3.539
S-P11-L,GAPDH,4.072
S-P11-L,ACTB,4.318
S-P11-L,IFNG,3.353
S-P12-NL,TYK2,5.111
S-P12-NL,JAK1,7.012
S-P12-NL,STAT3,7.35
S-P12-NL,IL17A,3.408
S-P12-NL,IL23R,7.999
S-P12-NL,KRT16,8.524
S-P12-NL,S100A8,4.632
S-P12-NL,GAPDH,7.797
S-P12-NL,ACTB,2.535
S-P12-NL,IFNG,2.112
S-P12-L,TYK2,6.307
S-P12-L,JAK1,7.719
S-P12-L,STAT3,8.651
S-P12-L,IL17A,7.386
S-P12-L,IL23R,4.332
S-P12-L,KRT16,7.769
S-P12-L,S100A8,7.58
S-P12-L,GAPDH,8.234
S-P12-L,ACTB,6.355
S-P12-L,IFNG,5.303
