specimen_id,gene,log2cpm
S-P06-NL,KRT16,5.578
S-P06-NL,S100A8,8.236
S-P06-NL,GAPDH,2.71
S-P06-NL,ACTB,7.083
S-P06-NL,IFNG,7.941
S-P06-L,TYK2,6.895
S-P06-L,JAK1,7.114
S-P06-L,STAT3,2.858
S-P06-L,IL17A,6.895
S-P06-L,IL23R,3.212
S-P06-L,KRT16,7.803
S-P06-L,S100A8,7.662
S-P06-L,GAPDH,3.093
S-P06-L,ACTB,4.835
S-P06-L,IFNG,7.944
S-P07-NL,TYK2,5.569
S-P07-NL,JAK1,3.674
S-P07-NL,STAT3,3.026
S-P07-NL,IL17A,5.569
S-P07-NL,IL23R,8.65
S-P07-NL,KRT16,4.224
S-P07-NL,S100A8,7.803
S-P07-NL,GAPDH,4.656
S-P07-NL,ACTB,8.965
S-P07-NL,IFNG,4.307
S-P07-L,TYK2,6.535
S-P07-L,JAK1,3.501
S-P07-L,STAT3,4.65
S-P07-L,IL17A,6.535
S-P07-L,IL23R,4.774
S-P07-L,KRT16,7.724
S-P07-L,S100A8,8.378
S-P07-L,GAPDH,4.628
S-P07-L,ACTB,7.585
S-P07-L,IFNG,5.401
S-P08-NL,TYK2,5.203
S-P08-NL,JAK1,5.0
S-P08-NL,STAT3,3.769
S-P08-NL,IL17A,5.203
S-P08-NL,IL23R,3.637
S-P08-NL,KRT16,5.751
S-P08-NL,S100A8,7.794
S-P08-NL,GAPDH,3.841
S-P08-NL,ACTB,7.188
S-P08-NL,IFNG,8.218
S-P08-L,TYK2,6.317
S-P08-L,JAK1,4.938
S-P08-L,STAT3,6.496
S-P08-L,IL17A,6.317
S-P08-L,IL23R,5.315
S-P08-L,KRT16,2.496
S-P08-L,S100A8,5.501
S-P08-L,GAPDH,6.646
S-P08-L,ACTB,7.404
S-P08-L,IFNG,5.741
S-P09-NL,TYK2,4.008
S-P09-NL,JAK1,7.812
S-P09-NL,STAT3,2.022
S-P09-NL,IL17A,4.008
S-P09-NL,IL23R,8.462
S-P09-NL,KRT16,2.429
S-P09-NL,S100A8,7.749
S-P09-NL,GAPDH,3.45
S-P09-NL,ACTB,7.363
S-P09-NL,IFNG,8.552
S-P09-L,TYK2,5.305
S-P09-L,JAK1,2.318
S-P09-L,STAT3,6.873
S-P09-L,IL17A,5.305
S-P09-L,IL23R,7.692
S-P09-L,KRT16,7.613
S-P09-L,S100A8,6.75
S-P09-L,GAPDH,2.842
S-P09-L,ACTB,4.407
S-P09-L,IFNG,2.868
S-P10-NL,TYK2,5.636
S-P10-NL,JAK1,7.608
S-P10-NL,STAT3,3.864
S-P10-NL,IL17A,5.636
S-P10-NL,IL23R,3.455
S-P10-NL,KRT16,7.104
S-P10-NL,S100A8,3.617
S-P10-NL,GAPDH,4.684
S-P10-NL,ACTB,8.622
S-P10-NL,IFNG,5.316
S-P10-L,TYK2,6.576
S-P10-L,JAK1,7.078
S-P10-L,STAT3,7.098
S-P10-L,IL17A,6.576
S-P10-L,IL23R,7.347
S-P10-L,KRT16,8.885
S-P10-L,S100A8,5.629
S-P10-L,GAPDH,3.512
S-P10-L,ACTB,4.296
S-P10-L,IFNG,3.907
S-P11-NL,TYK2,5.701
S-P11-NL,JAK1,6.78
S-P11-NL,STAT3,7.539
S-P11-NL,IL17A,5.701
S-P11-NL,IL23R,5.887
S-P11-NL,KRT16,4.817
S-P11-NL,S100A8,8.617
S-P11-NL,GAPDH,5.847
S-P11-NL,ACTB,4.127
S-P11-NL,IFNG,8.244
S-P11-L,TYK2,6.439
S-P11-L,JAK1,3.745
S-P11-L,STAT3,8.211
S-P11-L,IL17A,6.439
S-P11-L,IL23R,2.717
S-P11-L,KRT16,2.8
S-P11-L,S100A8,2.648
S-P11-L,GAPDH,3.945
S-P11-L,ACTB,5.756
S-P11-L,IFNG,6.525
S-P12-NL,TYK2,5.867
S-P12-NL,JAK1,8.612
S-P12-NL,STAT3,4.048
S-P12-NL,IL17A,5.867
S-P12-NL,IL23R,2.821
S-P12-NL,KRT16,8.086
S-P12-NL,S100A8,4.727
S-P12-NL,GAPDH,6.767
S-P12-NL,ACTB,3.361
S-P12-NL,IFNG,5.844
S-P12-L,TYK2,6.835
S-P12-L,JAK1,3.038
S-P12-L,STAT3,4.929
S-P12-L,IL17A,6.835
S-P12-L,IL23R,8.783
S-P12-L,KRT16,3.438
S-P12-L,S100A8,5.924
S-P12-L,GAPDH,3.175
S-P12-L,ACTB,3.183
S-P12-L,IFNG,5.167
