specimen_id,gene,log2cpm
S-P08-L,TYK2,7.13
S-P08-L,JAK1,8.955
S-P08-L,STAT3,2.567
S-P08-L,IL17A,8.326
S-P08-L,IL23R,7.272
S-P08-L,KRT16,3.94
S-P08-L,S100A8,2.373
S-P08-L,GAPDH,8.064
S-P08-L,ACTB,2.586
S-P08-L,IFNG,2.052
S-P09-NL,TYK2,5.458
S-P09-NL,JAK1,5.169
S-P09-NL,STAT3,7.561
S-P09-NL,IL17A,2.612
S-P09-NL,IL23R,5.806
S-P09-NL,KRT16,3.795
S-P09-NL,S100A8,3.244
S-P09-NL,GAPDH,4.178
S-P09-NL,ACTB,6.709
S-P09-NL,IFNG,7.797
S-P09-L,TYK2,6.314
S-P09-L,JAK1,3.271
S-P09-L,STAT3,5.91
S-P09-L,IL17A,3.971
S-P09-L,IL23R,6.042
S-P09-L,KRT16,8.849
S-P09-L,S100A8,3.2
S-P09-L,GAPDH,7.365
S-P09-L,ACTB,2.011
S-P09-L,IFNG,8.322
S-P10-NL,TYK2,5.675
S-P10-NL,JAK1,4.883
S-P10-NL,STAT3,4.901
S-P10-NL,IL17A,2.854
S-P10-NL,IL23R,6.866
S-P10-NL,KRT16,5.637
S-P10-NL,S100A8,3.973
S-P10-NL,GAPDH,8.045
S-P10-NL,ACTB,4.132
S-P10-NL,IFNG,5.942
S-P10-L,TYK2,6.691
S-P10-L,JAK1,8.79
S-P10-L,STAT3,5.762
S-P10-L,IL17A,6.948
S-P10-L,IL23R,7.128
S-P10-L,KRT16,2.007
S-P10-L,S100A8,7.47
S-P10-L,GAPDH,8.388
S-P10-L,ACTB,3.916
S-P10-L,IFNG,8.984
S-P11-NL,TYK2,4.608
S-P11-NL,JAK1,8.36
S-P11-NL,STAT3,5.746
S-P11-NL,IL17A,6.739
S-P11-NL,IL23R,4.549
S-P11-NL,KRT16,3.276
S-P11-NL,S100A8,5.749
S-P11-NL,GAPDH,8.832
S-P11-NL,ACTB,8.988
S-P11-NL,IFNG,2.95
S-P11-L,TYK2,5.922
S-P11-L,JAK1,3.825
S-P11-L,STAT3,6.14
S-P11-L,IL17A,5.48
S-P11-L,IL23R,6.591
S-P11-L,KRT16,4.434
S-P11-L,S100A8,2.938
S-P11-L,GAPDH,7.035
S-P11-L,ACTB,4.8
S-P11-L,IFNG,6.989
S-P12-NL,TYK2,4.326
S-P12-NL,JAK1,2.024
S-P12-NL,STAT3,6.486
S-P12-NL,IL17A,6.743
S-P12-NL,IL23R,3.108
S-P12-NL,KRT16,5.164
S-P12-NL,S100A8,4.081
S-P12-NL,GAPDH,8.646
S-P12-NL,ACTB,4.254
S-P12-NL,IFNG,4.901
S-P12-L,TYK2,5.354
S-P12-L,JAK1,6.828
S-P12-L,STAT3,8.386
S-P12-L,IL17A,7.986
S-P12-L,IL23R,3.931
S-P12-L,KRT16,8.091
S-P12-L,S100A8,5.247
S-P12-L,GAPDH,2.776
S-P12-L,ACTB,3.61
S-P12-L,IFNG,6.617
