specimen_id,gene,log2cpm
S-P05-NL,IL23R,7.356
S-P05-NL,KRT16,8.029
S-P05-NL,S100A8,3.382
S-P05-NL,GAPDH,7.884
S-P05-NL,ACTB,3.298
S-P05-NL,IFNG,8.731
S-P05-L,TYK2,5.616
S-P05-L,JAK1,7.747
S-P05-L,STAT3,4.23
S-P05-L,IL17A,7.313
S-P05-L,IL23R,7.351
S-P05-L,KRT16,4.243
S-P05-L,S100A8,6.454
S-P05-L,GAPDH,7.674
S-P05-L,ACTB,5.477
S-P05-L,IFNG,3.566
S-P06-NL,TYK2,4.053
S-P06-NL,JAK1,6.057
S-P06-NL,STAT3,3.859
S-P06-NL,IL17A,3.68
S-P06-NL,IL23R,6.081
S-P06-NL,KRT16,8.044
S-P06-NL,S100A8,2.711
S-P06-NL,GAPDH,4.21
S-P06-NL,ACTB,3.481
S-P06-NL,IFNG,2.352
S-P06-L,TYK2,5.184
S-P06-L,JAK1,2.584
S-P06-L,STAT3,3.196
S-P06-L,IL17A,3.896
S-P06-L,IL23R,3.194
S-P06-L,KRT16,6.632
S-P06-L,S100A8,5.763
S-P06-L,GAPDH,2.093
S-P06-L,ACTB,5.628
S-P06-L,IFNG,2.817
S-P07-NL,TYK2,4.811
S-P07-NL,JAK1,2.201
S-P07-NL,STAT3,5.597
S-P07-NL,IL17A,2.581
S-P07-NL,IL23R,2.388
S-P07-NL,KRT16,5.702
S-P07-NL,S100A8,3.263
S-P07-NL,GAPDH,2.125
S-P07-NL,ACTB,3.882
S-P07-NL,IFNG,2.702
S-P07-L,TYK2,5.943
S-P07-L,JAK1,7.813
S-P07-L,STAT3,8.948
S-P07-L,IL17A,2.835
S-P07-L,IL23R,8.469
S-P07-L,KRT16,8.557
S-P07-L,S100A8,3.7
S-P07-L,GAPDH,3.612
S-P07-L,ACTB,6.775
S-P07-L,IFNG,8.013
S-P08-NL,TYK2,4.48
S-P08-NL,JAK1,3.722
S-P08-NL,STAT3,5.829
S-P08-NL,IL17A,2.182
S-P08-NL,IL23R,6.173
S-P08-NL,KRT16,2.081
S-P08-NL,S100A8,8.059
S-P08-NL,GAPDH,6.407
S-P08-NL,ACTB,7.646
S-P08-NL,IFNG,3.226
S-P08-L,TYK2,5.465
S-P08-L,JAK1,5.975
S-P08-L,STAT3,5.193
S-P08-L,IL17A,3.374
S-P08-L,IL23R,8.294
S-P08-L,KRT16,7.196
S-P08-L,S100A8,3.382
S-P08-L,GAPDH,4.112
S-P08-L,ACTB,3.986
S-P08-L,IFNG,4.892
S-P09-NL,TYK2,5.497
S-P09-NL,JAK1,2.624
S-P09-NL,STAT3,2.143
S-P09-NL,IL17A,6.082
S-P09-NL,IL23R,3.351
S-P09-NL,KRT16,6.861
S-P09-NL,S100A8,8.735
S-P09-NL,GAPDH,8.584
S-P09-NL,ACTB,6.924
S-P09-NL,IFNG,8.345
S-P09-L,TYK2,6.734
S-P09-L,JAK1,8.738
S-P09-L,STAT3,6.793
S-P09-L,IL17A,7.358
S-P09-L,IL23R,2.013
S-P09-L,KRT16,3.685
S-P09-L,S100A8,7.115
S-P09-L,GAPDH,4.11
S-P09-L,ACTB,5.711
S-P09-L,IFNG,2.724
S-P10-NL,TYK2,5.732
S-P10-NL,JAK1,6.964
S-P10-NL,STAT3,6.65
S-P10-NL,IL17A,4.124
S-P10-NL,IL23R,2.867
S-P10-NL,KRT16,6.574
S-P10-NL,S100A8,2.75
S-P10-NL,GAPDH,8.64
S-P10-NL,ACTB,2.364
S-P10-NL,IFNG,5.84
S-P10-L,TYK2,6.99
S-P10-L,JAK1,8.389
S-P10-L,STAT3,7.308
S-P10-L,IL17A,5.504
S-P10-L,IL23R,7.681
S-P10-L,KRT16,7.355
S-P10-L,S100A8,4.638
S-P10-L,GAPDH,6.305
S-P10-L,ACTB,7.621
S-P10-L,IFNG,7.384
S-P11-NL,TYK2,5.409
S-P11-NL,JAK1,3.62
S-P11-NL,STAT3,2.073
S-P11-NL,IL17A,6.878
S-P11-NL,IL23R,7.875
S-P11-NL,KRT16,4.616
S-P11-NL,S100A8,8.655
S-P11-NL,GAPDH,2.951
S-P11-NL,ACTB,6.011
S-P11-NL,IFNG,3.747
S-P11-L,TYK2,6.415
S-P11-L,JAK1,3.938
S-P11-L,STAT3,3.821
S-P11-L,IL17A,3.51
S-P11-L,IL23R,4.614
S-P11-L,KRT16,7.022
S-P11-L,S100A8,5.773
S-P11-L,GAPDH,8.585
S-P11-L,ACTB,7.546
S-P11-L,IFNG,8.378
S-P12-NL,TYK2,5.727
S-P12-NL,JAK1,2.098
S-P12-NL,STAT3,8.591
S-P12-NL,IL17A,2.309
S-P12-NL,IL23R,5.597
S-P12-NL,KRT16,8.665
S-P12-NL,S100A8,2.694
S-P12-NL,GAPDH,2.663
S-P12-NL,ACTB,2.39
S-P12-NL,IFNG,2.683
S-P12-L,TYK2,6.893
S-P12-L,JAK1,6.243
S-P12-L,STAT3,6.873
S-P12-L,IL17A,6.281
S-P12-L,IL23R,3.748
S-P12-L,KRT16,3.787
S-P12-L,S100A8,4.783
S-P12-L,GAPDH,2.425
S-P12-L,ACTB,3.674
S-P12-L,IFNG,4.106
