specimen_id,gene,log2cpm
S-P11-L,JAK1,7.468
S-P11-L,STAT3,8.197
S-P11-L,IL17A,4.201
S-P11-L,IL23R,4.752
S-P11-L,KRT16,4.205
S-P11-L,S100A8,7.905
S-P11-L,GAPDH,5.259
S-P11-L,ACTB,2.729
S-P11-L,IFNG,6.651
S-P12-NL,TYK2,5.463
S-P12-NL,JAK1,8.622
S-P12-NL,STAT3,8.739
S-P12-NL,IL17A,6.5
S-P12-NL,IL23R,5.488
S-P12-NL,KRT16,4.252
S-P12-NL,S100A8,6.354
S-P12-NL,GAPDH,8.793
S-P12-NL,ACTB,5.951
S-P12-NL,IFNG,8.196
S-P12-L,TYK2,6.197
S-P12-L,JAK1,4.157
S-P12-L,STAT3,8.823
S-P12-L,IL17A,4.889
S-P12-L,IL23R,8.284
S-P12-L,KRT16,3.318
S-P12-L,S100A8,4.748
S-P12-L,GAPDH,2.501
S-P12-L,ACTB,3.437
S-P12-L,IFNG,6.38
